identifier,item,tag,code,name,note
A10,自然公園地域(平成18年度),NaturalPark,A10_001,都道府県コード,
A10,自然公園地域(平成18年度),NaturalPark,A10_002,支庁区分コード,
A10,自然公園地域(平成18年度),NaturalPark,A10_003,自然公園地域区分コード,
A10,自然公園地域(平成22年度),NaturalPark2,A10_001,都道府県コード,
A10,自然公園地域(平成22年度),NaturalPark2,A10_002,振興局コード,
A10,自然公園地域(平成22年度),NaturalPark2,A10_003,自然公園区分コード,
A10,自然公園地域(平成22年度),NaturalPark2,A10_004,自然公園地域区分コード,
A10,自然公園地域(平成22年度),NaturalPark2,A10_005,自然公園名称コード,
A10,自然公園地域(平成22年度),NaturalPark2,A10_006,要素区分コード,
L01,地価公示（平成30年以降）,LandPrice,L01_001,標準地コード_見出し番号,
L01,地価公示（平成25年～平成29年）,LandPrice,L01_001,標準地コード_見出し番号,
"L01
（平成24年度以前）","地価公示（平成24年度以前）
都道府県地価調査（平成23年度以前）","LandPrice
PrefectureLandPriceResearch",L01_001,標準地コード_見出し番号,※都道府県地価調査は「基準地コード_見出し番号」
"L02
（平成24年度のみ）","都道府県地価調査
（平成24年度のみ）",PrefectureLandPriceResearch,L02_001,基準地コード_見出し番号,
L02,"都道府県地価調査
（平成25年度～平成28年度）",PrefectureLandPriceResearch,L02_001,基準地コード_見出し番号,
L02,"都道府県地価調査
（平成29年度以降）",PrefectureLandPriceResearch,L02_001,基準地コード_見出し番号,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_001,3次メッシュコード,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_002,田,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_003,その他の農用地,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_004,森林,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_005,荒地,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_006,建物用地,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_007,幹線交通用地,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_008,その他の用地,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_009,河川地及び湖沼,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_010,海浜,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_011,海水域,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_012,ゴルフ場,
L03-a,"土地利用3次メッシュ(06, 平成18年度)",TertiaryLandUseMesh,L03a_013,解析範囲外,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_001,3次メッシュコード,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_002,田,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_003,畑,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_004,果樹園,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_005,その他の樹木畑,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_006,森林,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_007,荒地,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_008,建物用地Ａ,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_009,建物用地Ｂ,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_010,幹線交通用地,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_011,その他の用地,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_012,湖沼,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_013,河川地Ａ,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_014,河川地Ｂ,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_015,海浜,
L03-a,"土地利用3次メッシュ(76, 昭和51年度)",TertiaryLandUseMesh,L03a_016,不明,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_001,3次メッシュコード,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_002,田,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_003,畑,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_004,果樹園,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_005,その他の樹木畑,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_006,森林,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_007,荒地,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_008,建物用地,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_009,幹線交通用地,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_010,その他の用地,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_011,内水地,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_012,海浜,
L03-a,"土地利用3次メッシュ(87, 昭和62年度)",TertiaryLandUseMesh,L03a_013,海水域,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_001,3次メッシュコード,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_002,田,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_003,その他の農用地,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_004,森林,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_005,荒地,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_006,建物用地,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_007,幹線交通用地,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_008,その他の用地,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_009,河川地及び湖沼,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_010,海浜,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_011,海水域,
L03-a,"土地利用3次メッシュ(91, 97 平成3, 9年度)",TertiaryLandUseMesh,L03a_012,ゴルフ場,
N04,"道路密度・道路延長メッシュ(53, 昭和53年度）",RoadDensityAndLengthMesh_S53,N04_001,3次メッシュコード,
,"道路密度・道路延長メッシュ(53, 14, 15, 16 昭和53年度, 平成14～16年度）",RoadDensityAndLengthMesh,N04_002,幅員11.0m以上_道路密度_左,
,"道路密度・道路延長メッシュ(53, 14, 15, 16 昭和53年度, 平成14～16年度）",RoadDensityAndLengthMesh,N04_003,幅員11.0m以上_道路密度_上,
,"道路密度・道路延長メッシュ(53, 14, 15, 16 昭和53年度, 平成14～16年度）",RoadDensityAndLengthMesh,N04_004,幅員11.0m以上_道路密度_右,
,"道路密度・道路延長メッシュ(53, 14, 15, 16 昭和53年度, 平成14～16年度）",RoadDensityAndLengthMesh,N04_005,幅員11.0m以上_道路密度_下,
,"道路密度・道路延長メッシュ(53, 14, 15, 16 昭和53年度, 平成14～16年度）",RoadDensityAndLengthMesh,N04_006,幅員11.0m以上_道路延長_道路延長,
