identifier,title,field,year,areaType,areaCode,datum,zipFileUrl,zipFileSize,zipfile_name
A03,三大都市圏計画区域,政策区域,2003,2,100,2,http://nlftp.mlit.go.jp/ksj/gml/data/A03/A03-03/A03-03_SYUTO-tky_GML.zip,6.63MB,A03-03_SYUTO-tky_GML.zip
A09,都市地域,国土（水・土地）,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_01_GML.zip,2.82MB,A09-06_01_GML.zip
A09,都市地域,国土（水・土地）,2011,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_01_GML.zip,2.97MB,A09-11_01_GML.zip
A10,自然公園地域,地域,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-06/A10-06_01_GML.zip,5.39MB,A10-06_01_GML.zip
A10,自然公園地域,地域,2010,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-10/A10-10_GML.zip,22.48MB,A10-10_GML.zip
A10,自然公園地域,地域,2011,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-11/A10-11_01_GML.zip,5.54MB,A10-11_01_GML.zip
A10,自然公園地域,地域,2015,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-15/A10-15_01_GML.zip,6.49MB,A10-15_01_GML.zip
A11,自然保全地域,地域,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A11/A11-06/A11-06_01_GML.zip,0.09MB,A11-06_01_GML.zip
A11,自然保全地域,地域,2011,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A11/A11-11/A11-11_01_GML.zip,0.16MB,A11-11_01_GML.zip
A11,自然保全地域,地域,2015,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A11/A11-15/A11-15_01_GML.zip,0.20MB,A11-15_01_GML.zip
A12,農業地域,国土（水・土地）,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-06/A12-06_01_GML.zip,25.50MB,A12-06_01_GML.zip
A12,農業地域,国土（水・土地）,2011,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-11/A12-11_01_GML.zip,26.11MB,A12-11_01_GML.zip
A12,農業地域,国土（水・土地）,2015,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A12/A12-15/A12-15_01_GML.zip,24.77MB,A12-15_01_GML.zip
A13,森林地域,国土（水・土地）,2006,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A13/A13-06/A13-06_01_GML.zip,85.97MB,A13-06_01_GML.zip
A13,森林地域,国土（水・土地）,2011,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A13/A13-11/A13-11_01_GML.zip,87.75MB,A13-11_01_GML.zip
A13,森林地域,国土（水・土地）,2015,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A13/A13-15/A13-15_01_GML.zip,605.89MB,A13-15_01_GML.zip
A15,鳥獣保護区,地域,2009,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A15/A15-09/A15-09_01_GML.zip,1.66MB,A15-09_01_GML.zip
A15,鳥獣保護区,地域,2015,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A15/A15-15/A15-15_01_GML.zip,1.52MB,A15-15_01_GML.zip
A16,人口集中地区,政策区域,1960,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A16/A16-60/A16-60_01_GML.zip,0.18MB,A16-60_01_GML.zip
A16,人口集中地区,政策区域,1965,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A16/A16-65/A16-65_01_GML.zip,0.20MB,A16-65_01_GML.zip
A16,人口集中地区,政策区域,1970,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A16/A16-70/A16-70_01_GML.zip,0.35MB,A16-70_01_GML.zip
A16,人口集中地区,政策区域,1975,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A16/A16-75/A16-75_01_GML.zip,0.39MB,A16-75_01_GML.zip
A16,人口集中地区,政策区域,1980,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A16/A16-80/A16-80_01_GML.zip,0.35MB,A16-80_01_GML.zip
